Game,Manufacturer,Platform,Year,Genre,Publisher,NorthAmerica,Europe,Japan,RestOfWorld,Global
Harry Potter and the Sorcerer's Stone,Nintendo,GB,2001,Action,EA,0.94,0.62,0.1,0.07,1.73
SSX Tricky,Sony,PS2,2001,Sports,EA,0.85,0.66,0,0.22,1.73
Dragon Quest VI: Realms of Revelation,Nintendo,DS,2010,Role-Playing,Nintendo,0.2,0.15,1.35,0.03,1.73
Hitman: Absolution,Microsoft,X360,2012,Action,Square,0.68,0.88,0.01,0.17,1.73
Crash Bandicoot: The Huge Adventure,Nintendo,GBA,2002,Platform,Universal,0.95,0.7,0,0.08,1.73
Call of Duty: World at War Final Fronts,Sony,PS2,2008,Shooter,Activision,0.61,0.18,0,0.94,1.72
Madden NFL 2005,Microsoft,XB,2004,Sports,EA,1.61,0.03,0,0.08,1.72
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,Sony,PS2,2003,Action,Take-Two,0.85,0.66,0,0.22,1.72
Star Ocean: Till The End of Time,Sony,PS2,2003,Role-Playing,Ubisoft,0.8,0.21,0.55,0.15,1.72
Toy Story 2: Buzz Lightyear to the Rescue!,Sony,PS,1998,Platform,Activision,0.99,0.64,0,0.08,1.71
Dishonored,Microsoft,X360,2012,Action,Bethesda,1.06,0.5,0.01,0.14,1.71
Need for Speed Underground,Microsoft,XB,2003,Racing,EA,1.09,0.55,0,0.07,1.71
Deal or No Deal,Nintendo,DS,2007,Misc,Mindscape,1.15,0.4,0,0.15,1.71
The Beatles: Rock Band,Nintendo,Wii,2009,Misc,MTV,1.17,0.39,0,0.15,1.71
Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,Nintendo,DS,2006,Misc,Nintendo,0,0,1.71,0,1.71
Sonic Colors,Nintendo,Wii,2010,Platform,Sega,0.94,0.6,0.01,0.16,1.71
Ace Combat 5: The Unsung War,Sony,PS2,2004,Simulation,Sony,0.88,0.34,0.32,0.18,1.71
BioShock Infinite,Sony,PS3,2013,Shooter,Take-Two,0.73,0.65,0.04,0.28,1.71
Tetris Worlds,Nintendo,GBA,2001,Puzzle,THQ,1.25,0.39,0,0.06,1.71
Imagine: Teacher,Nintendo,DS,2008,Simulation,Ubisoft,0.7,0.83,0,0.19,1.71
Super Puyo Puyo,Nintendo,SNES,1993,Puzzle,Banpresto,0,0,1.69,0.01,1.7
Ben 10: Protector of Earth,Nintendo,DS,2007,Action,D3Publisher,0.68,0.82,0,0.19,1.7
NCAA Football 07,Sony,PS2,2006,Sports,EA,1.41,0.05,0,0.23,1.7
FIFA Soccer 10,Sony,PS2,2009,Sports,EA,0.23,0.24,0,1.23,1.7
Portal 2,Sony,PS3,2011,Shooter,Valve,0.83,0.6,0.02,0.24,1.7
Game Party 3,Nintendo,Wii,2009,Puzzle,Warner Bros,1.42,0.16,0,0.12,1.7
Cooking Mama 3: Shop & Chop,Nintendo,DS,2009,Simulation,505 Games,0.79,0.65,0.08,0.17,1.69
Cabela's Big Game Hunter 2010,Nintendo,Wii,2009,Sports,Activision,1.58,0,0,0.12,1.69
Resident Evil 4,Nintendo,GC,2005,Action,Capcom,0.98,0.42,0.22,0.06,1.69
Harry Potter and the Sorcerer's Stone,Nintendo,GBA,2001,Action,EA,0.87,0.66,0.08,0.08,1.69
Need For Speed: Undercover,Microsoft,X360,2008,Racing,EA,0.8,0.7,0.01,0.18,1.69
Dragon Ball Z: The Legacy of Goku,Nintendo,GBA,2002,Role-Playing,Infogrames,1.52,0.12,0,0.05,1.69
Personal Trainer: Math,Nintendo,DS,2007,Puzzle,Nintendo,0.48,1.12,0,0.08,1.69
SOCOM 3: U.S. Navy SEALs,Sony,PS2,2005,Shooter,Sony,1.22,0.34,0.04,0.1,1.69
Jampack Winter '99,Sony,PS,1999,Misc,Sony,0.94,0.64,0,0.11,1.69
WCW vs. nWo: World Tour,Nintendo,N64,1997,Fighting,THQ,1.37,0.28,0.03,0.02,1.69
WCW/NWO Thunder,Sony,PS,1998,Fighting,THQ,1.1,0.48,0.04,0.07,1.69
Dishonored 2,Sony,PS4,2016,Action,Bethesda,0.53,0.87,0.01,0.27,1.68
Star Wars Battlefront: Renegade Squadron,Sony,PSP,2007,Shooter,LucasArts,0.9,0.46,0,0.32,1.68
Time Crisis,Sony,PS,1997,Shooter,Namco Bandai,0.38,0.87,0.33,0.1,1.68
We Ski,Nintendo,Wii,2008,Sports,Namco Bandai,0.97,0.4,0.14,0.15,1.68
Yoshi's Cookie,Nintendo,GB,1992,Puzzle,Nintendo,0.59,0.24,0.82,0.03,1.68
Metroid Fusion,Nintendo,GBA,2002,Action,Nintendo,1.18,0.27,0.17,0.06,1.68
World Championship Poker: Featuring Howard Lederer - All In,Sony,PS2,2006,Misc,Oxygen,0.82,0.64,0,0.22,1.68
NFL GameDay 98,Sony,PS,1997,Sports,Sony,1.58,0.06,0,0.04,1.68
Saints Row 2,Sony,PS3,2008,Action,THQ,0.88,0.54,0.02,0.25,1.68
Far Cry 4,Microsoft,XOne,2014,Shooter,Ubisoft,0.84,0.69,0.01,0.14,1.68
Star Wars: Battlefront II,Microsoft,XB,2005,Shooter,Activision,1.22,0.39,0,0.06,1.67
Tony Hawk's Pro Skater 3,Sony,PS,2001,Sports,Activision,1.09,0.49,0.02,0.07,1.67
Disney's DuckTales,Nintendo,NES,1989,Platform,Capcom,0.91,0.3,0.42,0.04,1.67
Madden NFL 2001,Sony,PS,2000,Sports,EA,1.58,0.05,0,0.04,1.67
Dragon Age: Origins,Sony,PS3,2009,Role-Playing,EA,0.96,0.42,0.08,0.21,1.67
SSX 3,Sony,PS2,2003,Sports,EA,0.93,0.52,0,0.22,1.67
NCAA Football 2004,Sony,PS2,2003,Sports,EA,1.35,0.09,0,0.23,1.67
Fight Night Round 3,Sony,PS3,2006,Fighting,EA,0.81,0.58,0.01,0.26,1.67
PGR: Project Gotham Racing 2,Microsoft,XB,2003,Racing,Microsoft,0.97,0.59,0.04,0.07,1.67
Spy Hunter,Sony,PS2,2001,Racing,Midway,1.13,0.32,0,0.22,1.67
"Monsters, Inc.",Nintendo,GBA,2001,Adventure,THQ,0.59,0.95,0.03,0.1,1.67
SpongeBob SquarePants: Battle for Bikini Bottom,Sony,PS2,2003,Platform,THQ,1.08,0.45,0,0.14,1.67
LEGO Batman 2: DC Super Heroes,Microsoft,X360,2012,Action,Warner Bros,0.9,0.63,0,0.15,1.67
LEGO Marvel Super Heroes,Sony,PS4,2013,Action,Warner Bros,0.59,0.8,0.01,0.27,1.67
Dragon Ball Z: Budokai Tenkaichi,Sony,PS2,2005,Fighting,Atari,0.96,0.12,0.54,0.04,1.66
Saints Row IV,Microsoft,X360,2013,Action,Deep Silver,1.01,0.5,0.01,0.13,1.66
SSX,Sony,PS2,2000,Sports,EA,0.78,0.61,0.06,0.2,1.66
NBA Live 2003,Sony,PS2,2002,Sports,EA,1.25,0.15,0.03,0.22,1.66
NBA Ballers,Sony,PS2,2004,Sports,Midway,0.81,0.63,0,0.21,1.66
Street Fighter II': Special Champion Edition,Sega,GEN,1992,Fighting,Sega,1,0.3,0.31,0.04,1.66
Big Beach Sports,Nintendo,Wii,2008,Sports,THQ,0.45,1.02,0,0.2,1.66
Shaun White Snowboarding: Road Trip,Nintendo,Wii,2008,Sports,Ubisoft,0.93,0.56,0,0.16,1.66
MySims,Nintendo,Wii,2007,Simulation,EA,0.9,0.54,0.04,0.17,1.65
Need for Speed Carbon,Microsoft,X360,2006,Racing,EA,0.76,0.69,0.02,0.18,1.65
Star Wars The Clone Wars: Lightsaber Duels,Nintendo,Wii,2008,Action,LucasArts,1.21,0.3,0,0.14,1.65
Super Scope 6,Nintendo,SNES,1991,Shooter,Nintendo,1.06,0.38,0.15,0.05,1.65
Mario Party 6,Nintendo,GC,2004,Misc,Nintendo,0.9,0.11,0.6,0.05,1.65
Kirby's Return to Dreamland,Nintendo,Wii,2011,Platform,Nintendo,0.58,0.21,0.79,0.07,1.65
Donkey Kong Country: Tropical Freeze,Nintendo,WiiU,2014,Platform,Nintendo,0.74,0.62,0.16,0.13,1.65
Heavenly Sword,Sony,PS3,2007,Action,Sony,0.57,0.72,0.06,0.29,1.65
Dragon Quest V: Tenkuu no Hanayome,Sony,PS2,2004,Role-Playing,Square,0,0,1.65,0,1.65
NBA 2K15,Microsoft,X360,2014,Sports,Take-Two,1.37,0.11,0,0.17,1.65
Destiny,Sony,PS3,2014,Shooter,Activision,0.69,0.56,0.13,0.25,1.64
Ghosts 'n Goblins,Nintendo,NES,1986,Action,Capcom,0.74,0.26,0.61,0.03,1.64
NBA Live 06 (All region sales),Sony,PS2,2005,Sports,EA,1.44,0.15,0,0.05,1.64
Army of Two,Microsoft,X360,2008,Shooter,EA,1.09,0.37,0.02,0.16,1.64
Tiger Woods PGA Tour 2003,Sony,PS2,2002,Sports,EA,0.8,0.63,0,0.21,1.64
Kirby & the Amazing Mirror,Nintendo,GBA,2004,Platform,Nintendo,0.8,0.05,0.76,0.03,1.64
Tom Clancy's Rainbow Six,Sony,PS,1999,Shooter,Red Storm,0.93,0.63,0,0.08,1.64
Prince of Persia: Warrior Within,Sony,PS2,2004,Action,Ubisoft,0.54,0.88,0,0.22,1.64
Tiger Woods PGA Tour 2004,Sony,PS2,2003,Sports,EA,1.18,0.34,0,0.1,1.63
Pikmin,Nintendo,GC,2001,Strategy,Nintendo,0.78,0.25,0.56,0.04,1.63
ESPN NFL 2K5,Microsoft,XB,2004,Sports,Sega,1.54,0.02,0,0.07,1.63
Ape Escape,Sony,PS,1999,Platform,Sony,0.71,0.48,0.32,0.11,1.63
Beyond: Two Souls,Sony,PS3,2013,Adventure,Sony,0.52,0.8,0.06,0.26,1.63
Tony Hawk's American Wasteland (Old all region sales),Sony,PS2,2005,Sports,Activision,0.8,0.63,0.01,0.19,1.62
Sled Storm,Sony,PS,1998,Racing,EA,0.9,0.61,0,0.11,1.62
FIFA 16,Microsoft,X360,2015,Sports,EA,0.59,0.91,0,0.13,1.62
NCAA Football 2005,Sony,PS2,2004,Sports,EA,1.32,0.09,0,0.22,1.62
Rock Band,Sony,PS3,2008,Misc,EA,0.99,0.41,0,0.22,1.62
Kinectimals,Microsoft,X360,2010,Simulation,Microsoft,1.02,0.46,0,0.13,1.62
Viva Pinata,Microsoft,X360,2006,Simulation,Microsoft,0.45,0.95,0.02,0.2,1.62
Kirby Air Ride,Nintendo,GC,2003,Racing,Nintendo,1.01,0.11,0.45,0.04,1.62
Dragon Quest IV: Chapters of the Chosen,Nintendo,DS,2007,Role-Playing,Square,0.3,0.02,1.27,0.03,1.62
Max Payne 3,Microsoft,X360,2012,Shooter,Take-Two,0.86,0.62,0.01,0.13,1.62
Monster Hunter Double Cross,Nintendo,3DS,2017,Action,Capcom,0,0,1.61,0,1.61
Disney Infinity,Nintendo,Wii,2013,Action,Disney,1.06,0.41,0,0.14,1.61
NFL Street 2,Sony,PS2,2004,Sports,EA,0.79,0.62,0,0.21,1.61
Yu-Gi-Oh! Duel Monsters,Nintendo,GB,1998,Strategy,Konami,0,0,1.61,0.01,1.61
Baseball,Nintendo,GB,1989,Sports,Nintendo,0.66,0.27,0.65,0.03,1.61
Super Mario Strikers,Nintendo,GC,2005,Sports,Nintendo,0.98,0.38,0.2,0.04,1.61
Buzz! The Music Quiz,Sony,PS2,2005,Misc,Sony,0,1.18,0,0.43,1.61
Rage,Microsoft,X360,2011,Shooter,Bethesda,0.82,0.6,0.03,0.15,1.6
Silent Hill,Sony,PS,1999,Action,Konami,0.71,0.48,0.3,0.1,1.6
Mario Hoops 3 on 3,Nintendo,DS,2006,Sports,Nintendo,0.98,0.04,0.49,0.09,1.6
LEGO City Undercover,Nintendo,3DS,2013,Platform,Nintendo,0.54,0.86,0.08,0.12,1.6
Sonic Heroes,Nintendo,GC,2003,Platform,Sega,1.05,0.44,0.06,0.04,1.6
Just Cause 2,Microsoft,X360,2010,Action,Square,0.59,0.83,0.02,0.17,1.6
Dollar Dash,Sony,PS2,2005,Action,Take-Two,1.3,0.23,0,0.07,1.6
SpongeBob's Atlantis SquarePantis,Nintendo,DS,2007,Action,THQ,1.49,0,0,0.11,1.6
F-1 World Grand Prix,Nintendo,N64,1998,Racing,Video System,0.46,0.96,0.09,0.08,1.6
NASCAR 2000,Sony,PS,1999,Racing,EA,0.88,0.6,0,0.1,1.59
Madden NFL 15,Microsoft,XOne,2014,Sports,EA,1.32,0.1,0,0.17,1.59
ESPN NBA 2K5,Sony,PS2,2004,Sports,Global Star,1.26,0.12,0,0.21,1.59
Pro Evolution Soccer 2008,Sony,PS3,2007,Sports,Konami,0.04,1.1,0.32,0.13,1.59
The Legend of Zelda: Twilight Princess,Nintendo,GC,2006,Action,Nintendo,1.15,0.36,0.04,0.04,1.59
Pokemon Battle Revolution,Nintendo,Wii,2006,Role-Playing,Nintendo,0.78,0.37,0.3,0.13,1.59
Soul Edge,Sony,PS,1996,Fighting,Sony,0.61,0.41,0.46,0.1,1.59
Far Cry 2,Microsoft,X360,2008,Action,Ubisoft,0.72,0.69,0.02,0.18,1.59
The Elder Scrolls V: Skyrim,Microsoft,XOne,2016,Role-Playing,Bethesda,0.93,0.51,0,0.14,1.58
Devil May Cry 4,Sony,PS3,2008,Action,Capcom,0.58,0.45,0.34,0.2,1.58
Dance Dance Revolution: Hottest Party 2,Nintendo,Wii,2008,Simulation,Konami,0.94,0.48,0.01,0.15,1.58
Dead Rising 3,Microsoft,XOne,2013,Action,Microsoft,1.06,0.35,0.01,0.15,1.58
Sonic Generations,Sony,PS3,2011,Platform,Sega,0.6,0.7,0.02,0.26,1.58
Jampack Summer 2K,Sony,PS,2000,Misc,Sony,0.88,0.6,0,0.1,1.58
Kingdom Hearts 3D: Dream Drop Distance,Nintendo,3DS,2012,Action,Square,0.88,0.26,0.34,0.1,1.58
Watch Dogs,Microsoft,XOne,2014,Action,Ubisoft,0.91,0.53,0,0.14,1.58
SoulCalibur IV,Microsoft,X360,2008,Fighting,Ubisoft,0.92,0.43,0.07,0.15,1.58
Spyro 2: Season of Flame,Nintendo,GBA,2002,Platform,Vivendi,0.85,0.65,0,0.08,1.58
Batman: Arkham Knight,Microsoft,XOne,2015,Action,Warner Bros,0.97,0.47,0,0.15,1.58
Guitar Hero: On Tour Decades,Nintendo,DS,2008,Misc,Activision,0.84,0.57,0,0.16,1.57
Call of Duty Black Ops: Declassified,Sony,PSV,2012,Action,Activision,0.74,0.47,0.07,0.29,1.57
NCAA Football 2002,Sony,PS2,2001,Sports,EA,0.77,0.6,0,0.2,1.57
Conflict: Desert Storm,Sony,PS2,2002,Shooter,Gotham,0.98,0.53,0,0.06,1.57
Pro Evolution Soccer 2010,Sony,PS2,2009,Sports,Konami,0.1,0.18,0.12,1.16,1.57
Gears of War: Judgment,Microsoft,X360,2013,Shooter,Microsoft,0.92,0.5,0.03,0.12,1.57
Mario Party 7,Nintendo,GC,2005,Misc,Nintendo,0.95,0.11,0.46,0.04,1.57
Dragon Quest V: Hand of the Heavenly Bride,Nintendo,DS,2008,Role-Playing,Square,0.17,0.02,1.36,0.02,1.57
LEGO Harry Potter: Years 1-4,Microsoft,X360,2010,Action,Warner Bros,0.95,0.48,0,0.14,1.57
Wolfenstein: The New Order,Sony,PS4,2014,Shooter,Bethesda,0.48,0.8,0.03,0.24,1.56
Final Fight,Nintendo,SNES,1990,Action,Capcom,0.67,0.17,0.69,0.03,1.56
LEGO Pirates of the Caribbean: The Video Game,Nintendo,Wii,2011,Action,Disney,0.73,0.67,0,0.15,1.56
Hannah Montana: Music Jam,Nintendo,DS,2007,Action,Disney,1.05,0.36,0,0.15,1.56
High School Musical 3: Senior Year,Nintendo,DS,2008,Misc,Disney,0.63,0.76,0,0.17,1.56
Fight Night Round 3,Sony,PS2,2006,Fighting,EA,1.07,0.4,0,0.1,1.56
Need for Speed: Most Wanted,Microsoft,X360,2012,Racing,EA,0.62,0.78,0.01,0.15,1.56
MySims Kingdom,Nintendo,DS,2008,Simulation,EA,0.8,0.59,0.01,0.16,1.56
Donkey Kong Classics,Nintendo,NES,1988,Platform,Nintendo,0.59,0.14,0.81,0.02,1.56
Pokemon Pinball: Ruby & Sapphire,Nintendo,GBA,2003,Misc,Nintendo,0.68,0.38,0.44,0.05,1.56
Yoshi's New Island,Nintendo,3DS,2014,Platform,Nintendo,0.51,0.65,0.29,0.1,1.56
Pokemon Mystery Dungeon: Explorers of Sky,Nintendo,DS,2009,Role-Playing,Nintendo,0.57,0.43,0.44,0.12,1.56
Twisted Metal,Sony,PS,1995,Action,Sony,1.32,0.19,0,0.05,1.56
Dragon Quest Monsters 2,Nintendo,GB,2001,Role-Playing,Square,0,0,1.56,0,1.56
Dragon Quest VII: Warriors of Eden,Nintendo,3DS,2013,Role-Playing,Square,0.1,0.13,1.31,0.02,1.56
Rise of the Tomb Raider,Microsoft,XOne,2015,Adventure,Square,0.59,0.82,0.03,0.12,1.56
Carnival Games: Mini Golf,Nintendo,Wii,2008,Sports,Take-Two,0.86,0.55,0,0.15,1.56
Smuggler's Run,Sony,PS2,2000,Racing,Take-Two,0.77,0.6,0,0.2,1.56
Spider-Man 2: Enter: Electro,Sony,PS,2001,Action,Activision,0.57,0.87,0.02,0.09,1.55
Guitar Hero 5,Nintendo,Wii,2009,Misc,Activision,0.92,0.48,0,0.15,1.55
Moshi Monsters: Moshling Zoo,Nintendo,DS,2011,Misc,Activision,0.38,0.96,0,0.21,1.55
Stuntman,Sony,PS2,2002,Racing,Atari,0.76,0.59,0,0.2,1.55
007: The World is not Enough,Nintendo,N64,2000,Action,EA,1.13,0.38,0.02,0.03,1.55
Mafia II,Microsoft,X360,2010,Action,Take-Two,0.85,0.55,0,0.15,1.55
Tom Clancy's Rainbow Six 3,Microsoft,XB,2003,Shooter,Ubisoft,0.91,0.57,0,0.07,1.55
Active Life: Outdoor Challenge,Nintendo,Wii,2008,Sports,Atari,0.78,0.43,0.19,0.14,1.54
MVP Baseball 2005,Sony,PS2,2005,Sports,EA,1.26,0.07,0,0.21,1.54
Die Hard Trilogy,Sony,PS,1996,Shooter,Fox Interactive,0.85,0.58,0,0.1,1.54
Dark Cloud,Sony,PS2,2000,Role-Playing,Sony,0.83,0.44,0.08,0.19,1.54
Uncharted: Golden Abyss,Sony,PSV,2011,Shooter,Sony,0.53,0.66,0.13,0.22,1.54
BioShock 2,Sony,PS3,2010,Shooter,Take-Two,0.85,0.46,0.02,0.22,1.54
Tom Clancy's Ghost Recon Advanced Warfighter,Microsoft,X360,2006,Shooter,Ubisoft,1.4,0.02,0.02,0.1,1.54
NFL GameDay 99,Sony,PS,1998,Sports,989 Studios,1.44,0.05,0,0.04,1.53
Mortal Kombat 3,Nintendo,SNES,1994,Fighting,Acclaim,1.19,0.29,0,0.05,1.53
Dishonored,Sony,PS3,2012,Action,Bethesda,0.72,0.52,0.04,0.25,1.53
Tiger Woods 99 PGA Tour Golf,Sony,PS,1997,Sports,EA,0.85,0.58,0,0.1,1.53
Pro Evolution Soccer 2013,Sony,PS3,2012,Sports,Konami,0.18,0.63,0.49,0.24,1.53
Go Vacation,Nintendo,Wii,2011,Misc,Namco Bandai,0.42,0.65,0.33,0.14,1.53
Mario Golf: Toadstool Tour,Nintendo,GC,2003,Sports,Nintendo,1.09,0.15,0.25,0.04,1.53
Super Monkey Ball 2,Nintendo,GC,2002,Puzzle,Atari,1.11,0.31,0.06,0.04,1.52
Resident Evil: The Umbrella Chronicles,Nintendo,Wii,2007,Action,Capcom,0.67,0.43,0.29,0.14,1.52
NBA Live 2000,Sony,PS,1998,Sports,EA,1.43,0.05,0,0.03,1.52
NASCAR 98,Sony,PS,1996,Racing,EA,1.43,0.05,0,0.04,1.52
NASCAR 99,Sony,PS,1998,Racing,EA,1.45,0.04,0,0.04,1.52
Knockout Kings,Sony,PS,1997,Fighting,EA,1.07,0.39,0,0.06,1.52
Fight Night Round 4,Sony,PS3,2009,Fighting,EA,0.92,0.4,0,0.2,1.52
The Simpsons Skateboarding,Sony,PS2,2002,Sports,EA,0.36,0.9,0,0.27,1.52
Puzzle & Dragons,Nintendo,3DS,2013,Role-Playing,GungHo,0,0,1.52,0,1.52
Xevious,Nintendo,NES,1984,Shooter,Namco Bandai,0.18,0.06,1.27,0.01,1.52
F1 Race,Nintendo,NES,1984,Racing,Nintendo,0,0,1.52,0,1.52
Call of Duty: Modern Warfare: Reflex Edition,Nintendo,Wii,2009,Shooter,Activision,0.94,0.43,0,0.14,1.51
Call of Duty 3,Sony,PS3,2006,Shooter,Activision,0.6,0.62,0.03,0.26,1.51
Mega Man 2,Nintendo,NES,1988,Action,Capcom,0.93,0.15,0.42,0.01,1.51
Disney Fairies: Tinker Bell,Nintendo,DS,2008,Adventure,Disney,0.85,0.51,0.01,0.15,1.51
NBA Live 98,Sony,PS,1997,Sports,EA,1.41,0.06,0,0.04,1.51
Simpsons Wrestling,Sony,PS,2001,Fighting,EA,0.23,1.16,0,0.11,1.51
Dead Space 2,Microsoft,X360,2011,Shooter,EA,0.94,0.44,0,0.13,1.51
MySims Kingdom,Nintendo,Wii,2008,Simulation,EA,0.7,0.64,0.01,0.16,1.51
The Simpsons Game,Nintendo,DS,2007,Action,EA,0.56,0.77,0,0.17,1.51
The Simpsons Game,Sony,PS2,2007,Action,EA,0.35,0.03,0,1.13,1.51
Monopoly,Sony,PS,1997,Misc,Hasbro,1.18,0.27,0,0.05,1.51
Pac-Man World 2,Sony,PS2,2002,Action,Namco Bandai,1.26,0.05,0,0.21,1.51
Ni no Kuni: Wrath of the White Witch,Sony,PS3,2011,Role-Playing,Namco Bandai,0.6,0.47,0.21,0.23,1.51
Tokyo Xtreme Racer Zero,Sony,PS2,2000,Racing,Crave,0.66,0.52,0.15,0.17,1.5
Madden NFL 2001,Sony,PS2,2000,Sports,EA,1.19,0.07,0.05,0.2,1.5
Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,Nintendo,NES,1986,Platform,Hudson,0,0,1.5,0,1.5
Star Wars: The Force Unleashed II,Sony,PS3,2010,Action,LucasArts,0.8,0.49,0,0.21,1.5
NFL Blitz,Sony,PS,1998,Sports,Midway,1.41,0.05,0,0.04,1.5
Pac-Man World,Sony,PS,1998,Action,Namco Bandai,1.21,0.14,0.1,0.04,1.5
SoulCalibur II,Nintendo,GC,2003,Fighting,Namco Bandai,0.99,0.32,0.11,0.08,1.5
Ice Climber,Nintendo,NES,1985,Platform,Nintendo,0.46,0.1,0.92,0.02,1.5
WWF No Mercy,Nintendo,N64,2000,Fighting,THQ,1.2,0.27,0.02,0.02,1.5
Red Faction II,Sony,PS2,2002,Shooter,THQ,0.49,0.78,0,0.23,1.5
Mortal Kombat X,Microsoft,XOne,2015,Fighting,Warner Bros,1.13,0.22,0,0.15,1.5
Dead Rising 2,Microsoft,X360,2010,Action,Capcom,0.75,0.52,0.09,0.12,1.49
Disney Infinity,Microsoft,X360,2013,Action,Disney,1.02,0.34,0,0.14,1.49
Medal of Honor: Frontline,Microsoft,XB,2002,Shooter,EA,1,0.43,0,0.06,1.49
Madden NFL 09,Sony,PS2,2008,Sports,EA,1.22,0,0,0.27,1.49
Madden NFL 15,Sony,PS3,2014,Sports,EA,1.11,0.11,0,0.28,1.49
Rock Band 2,Sony,PS3,2008,Misc,MTV,1.13,0.2,0,0.16,1.49
Final Fantasy: Crystal Chronicles,Nintendo,GC,2003,Role-Playing,Nintendo,0.72,0.38,0.36,0.04,1.49
Banjo-Tooie,Nintendo,N64,2000,Platform,Nintendo,0.82,0.36,0.25,0.06,1.49
Sonic Rivals 2,Sony,PSP,2007,Racing,Sega,0.44,0.68,0,0.37,1.49
Buzz! The BIG Quiz,Sony,PS2,2006,Misc,Sony,0,1.1,0,0.39,1.49
Mafia II,Sony,PS3,2010,Action,Take-Two,0.5,0.69,0.04,0.26,1.49
007: Quantum of Solace,Microsoft,X360,2008,Action,Activision,0.82,0.51,0.01,0.14,1.48
Disney Sing It: Pop Hits,Nintendo,Wii,2009,Misc,Disney,1.07,0.28,0,0.13,1.48
Fight Night 2004,Sony,PS2,2004,Fighting,EA,1.08,0.2,0,0.2,1.48
LEGO Star Wars III: The Clone Wars,Microsoft,X360,2011,Action,LucasArts,0.84,0.51,0,0.13,1.48
Wario Land II,Nintendo,GB,1997,Platform,Nintendo,0.7,0.35,0.39,0.04,1.48
Nintendo World Cup,Nintendo,NES,1990,Sports,Nintendo,0.28,0.5,0.65,0.05,1.48
Resistance 3,Sony,PS3,2011,Shooter,Sony,0.64,0.57,0.05,0.22,1.48
Dirge of Cerberus: Final Fantasy VII,Sony,PS2,2006,Shooter,Square,0.47,0.37,0.52,0.12,1.48
Major League Baseball 2K5,Sony,PS2,2005,Sports,Take-Two,0.72,0.56,0,0.19,1.48
WWF WrestleMania 2000,Nintendo,N64,1999,Fighting,THQ,1.2,0.25,0.02,0.02,1.48
Drawn To Life: SpongeBob SquarePants Edition,Nintendo,DS,2008,Adventure,THQ,0.99,0.35,0,0.13,1.48
Bratz: Forever Diamondz,Nintendo,DS,2006,Adventure,THQ,0.43,0.88,0,0.18,1.48
Tom Clancy's Splinter Cell: Pandora Tomorrow,Microsoft,XB,2004,Action,Ubisoft,0.82,0.59,0,0.07,1.48
Tom Clancy's Ghost Recon: Future Soldier,Microsoft,X360,2012,Shooter,Ubisoft,0.94,0.4,0.02,0.12,1.48
Fight Night Round 3,Microsoft,X360,2006,Fighting,EA,1.33,0.03,0.01,0.1,1.47
Mario Golf,Nintendo,N64,1999,Action,Nintendo,0.62,0.18,0.65,0.02,1.47
Disney Princess,Nintendo,GBA,2003,Platform,THQ,1.04,0.37,0,0.06,1.47
Imagine: Master Chef,Nintendo,DS,2007,Simulation,Ubisoft,0.39,0.91,0,0.17,1.47
Super Monkey Ball,Nintendo,GC,2001,Puzzle,Atari,0.95,0.37,0.1,0.04,1.46
Battlefield: Bad Company,Microsoft,X360,2008,Shooter,EA,0.81,0.46,0.04,0.15,1.46
Mortal Kombat 4,Sony,PS,1998,Fighting,Infogrames,0.81,0.55,0,0.1,1.46
Yokai Watch 3,Nintendo,3DS,2016,Action,Level 5,0,0,1.46,0,1.46
Midway Arcade Treasures,Sony,PS2,2003,Misc,Midway,0.72,0.56,0,0.19,1.46
The Witcher 3: Wild Hunt,Microsoft,XOne,2015,Role-Playing,Namco Bandai,0.78,0.54,0.01,0.13,1.46
Mario Superstar Baseball,Nintendo,GC,2005,Sports,Nintendo,0.93,0.24,0.25,0.04,1.46
New Play Control! Mario Power Tennis,Nintendo,Wii,2009,Sports,Nintendo,0.35,0.69,0.28,0.14,1.46
Xenogears,Sony,PS,1998,Role-Playing,Square,0.29,0.19,0.89,0.1,1.46
NBA 2K14,Sony,PS4,2013,Sports,Take-Two,0.91,0.31,0.01,0.23,1.46
WCW vs the World,Sony,PS,1998,Fighting,THQ,1.17,0.2,0.04,0.05,1.46
The SpongeBob SquarePants Movie,Nintendo,GBA,2004,Platform,THQ,1.02,0.38,0,0.06,1.46
Homefront,Microsoft,X360,2011,Shooter,THQ,0.83,0.48,0.02,0.12,1.46
Wall-E,Nintendo,DS,2008,Platform,THQ,0.46,0.82,0,0.17,1.46
SoulCalibur IV,Sony,PS3,2008,Fighting,Ubisoft,0.72,0.4,0.14,0.2,1.46
Super Scribblenauts,Nintendo,DS,2010,Puzzle,Warner Bros,1.06,0.29,0,0.11,1.46
LEGO Battles: Ninjago,Nintendo,DS,2011,Strategy,Warner Bros,1.03,0.32,0,0.11,1.46
Tony Hawk's American Wasteland (Weekly american sales),Sony,PS2,2005,Sports,Activision,1.38,0.05,0,0.02,1.45
Onimusha 3: Demon Siege,Sony,PS2,2004,Action,Capcom,0.37,0.47,0.54,0.07,1.45
